respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DE LA INSTITUCIÓN EDUCATIVA,¿Con qué género te identificas?,"Cuéntanos una historia que te haya pasado en la educación virtual que para ti haya sido importante, puede ser algo agradable o desagradable, que te sucedió a ti o a otro compañero, puede ser alguna situación con un docente, o con tu familia, la conectividad o lo que piensas de esta nueva realidad, comparte tu historia aquí.",La historia que contaste te genera,La experiencia que compartiste es,¿Cuándo pasó la historia que nos contaste?,¿Con qué frecuencia pasa la situación que nos contaste?,¿Quién debe saber esta historia?,¿A quiénes involucra la historia que nos contaste?,Otro Involucrado,¿Qué enseñanza para la vida te dejó la historia que nos contaste?,Otra Enseñanza,La historia que nos contaste tiene impacto en:,Los espacios de aprendizaje virtual que estás teniendo:,Las actividades Extra-curriculares de manera virtual que te ofrece la institución son:,"¿En tu institución utilizan el arte, la cultura, la ciencia y la tecnología, como un camino para la celebración y el respeto por la diversidad?",¿Sientes que tus intereses y preguntas son tenidos en cuenta en tu institución a la hora de crear los contenidos y temas que veras en clase?,¿Sobre cuáles de los siguientes temas te gustaría aprender más en tu institución?,Otro (especifique),¿Cuál de estas características crees que es la que más resalta en los docentes de tu institución?,Disfrutas y aprendes mejor cuando:,Si fueras un profesor de tu institución ¿Qué agregarías a las clases (virtuales y presenciales)?, 
12890123131,404495119,2021-08-13 12:11:17,2021-08-13 12:23:19,191.95.152.38,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,"Que los  profesores en Cierto modo nos dicen brutos porque no nos ven capacidades para poder pasar las pruebas del saber y me parece que eso es muy feo porque nos quitan esa motivación para poder finalizar nuestro siglo en el colegio, sabiendo que estuvimos un año y medio en clases virtuales ",Tristeza,Una opinión,Hace algunos días o semanas,Frecuentemente,Los profesores y las directivas,Profesores,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tus emociones o sentimientos,Hacen que desees volver al salón de clase.,No me gustan,Mucho,Más o menos,Innovación y creatividad,,Pensamiento critico.,20,Más debate.,
12890040202,404495119,2021-08-13 11:38:21,2021-08-13 11:45:18,186.146.66.167,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Hombre,"En el tiempo en que estuvimos en la virtualidad sufrí muchas crisis, pienso que como yo muchos jóvenes y niños pasaron por lo mismo. Manejaba mucho estrés y la monotonía de estar en la casa me tenía agobiado. Al saber que iba a regresar al colegio me llené de emoción, ya que me gusta ir al colegio, llevo 5 años allá y me he sentido de maravilla, como este es mi último año escolar me puse muy feliz con la noticia de que iba a regresar.",Esperanza,Experiencia personal,Hace algunos días o semanas,Casi nunca,Todo el mundo,A mi,,Aprendí a valorar como era la vida antes de la pandemia.,,Tus emociones o sentimientos,Hacen que desees volver al salón de clase.,No me ofrecen/ No sé,Nada,Más o menos,Educación sexual,,Trabajo colaborativo.,37,Más proyectos artísticos,
12889621610,404495119,2021-08-13 08:36:52,2021-08-13 08:53:28,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Hombre,Me gustó mucho un día que en clase de arte realizamos dibujos y lo pude colorear a mi gusto,Alegría,Experiencia personal,Hace algunos días o semanas,Frecuentemente,Padres/familia,Profesores,,Aprendí nuevas habilidades y conocimientos.,,Tus emociones o sentimientos,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Mucho,Innovación y creatividad,,Buena comunicación.,38,Más actividades fuera del aula.,
12888480799,404495119,2021-08-12 20:05:44,2021-08-12 20:20:59,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Hombre,Que haci me cuide apesar de este coronavirus haciendo las clases virtualmente,Motivación,Una opinión,Hace un año,Casi nunca,Los profesores y las directivas,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu futuro,Son divertidos y los disfrutas.,Me encantan,Mucho,Mucho,Valores,,Trabajo colaborativo.,100,Más juegos,
12888461471,404495119,2021-08-12 19:31:15,2021-08-12 20:09:32,45.175.20.66,,,,,No,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,Lo mas triste que e visto es unos besino con niño pequeños que no tenían gas tampoco agua y lo mandaron a desocupar la casa porque n tenían para pagar ,Tristeza,Experiencia que alguien te compartió,Hace seis meses,Casi siempre,Padres/familia,Amigos,,Aprendí lo importante de compartir con mis amigos y compañeros.,,Lo que pasa a tu alrededor,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Más o menos,Relación con la familia,,Buena comunicación.,100,Más investigación,
12888454701,404495119,2021-08-12 19:57:21,2021-08-12 20:06:06,191.156.13.17,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,Cuando empezamos este año estaba ansiosa de con que compañeros iba a estar y me puse muy triste por que mis amigas quedaron en otro salon,Tristeza,Experiencia personal,Hace seis meses,Casi nunca,Los compañeros,Amigos,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,La forma en que te relacionas con los demás,Hacen que quieras entrar a ellos.,Son buenas,Mucho,Mucho,Valores,,Trabajo colaborativo.,68,Más conversación.,
12888436685,404495119,2021-08-12 19:42:01,2021-08-12 19:54:20,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Hombre,Estaba en una esposocion del area de artistica y estaba en camara con mi profe y mi hermano de repente empezo a decir pasenme el papel el papel y me toco colgar la llamada ,Impotencia,Experiencia personal,Hace seis meses,Casi nunca,Padres/familia,Familia,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Ninguna de las anteriores,Hacen que desees volver al salón de clase.,Son buenas,Más o menos,Mucho,Innovación y creatividad,,Buena comunicación.,50,Más investigación,
12888412179,404495119,2021-08-12 19:27:02,2021-08-12 19:39:51,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Hombre,Me agrado el momento compartido con la psicóloga de la uva ,Tranquilidad,Una opinión,Hace seis meses,Casi nunca,Los compañeros,Amigos,,Aprendí nuevas habilidades y conocimientos.,,Lo que pasa a tu alrededor,Hacen que te intereses por nuevas maneras de aprender.,No me ofrecen/ No sé,Mucho,Más o menos,Innovación y creatividad,,Buena comunicación.,50,Más conversación.,
12888388033,404495119,2021-08-12 19:07:21,2021-08-12 19:26:43,181.132.73.162,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,Un día estábamos estudiando y una alumna de grado 11 y nos ayudó en algunas cosas que se nos dificultaba a los más pequeños ami me pareció un acto muy amable de este grado. ,Alegría,Experiencia personal,Hace algunos días o semanas,Frecuentemente,Los compañeros,Otro (especifique),Un alumno,Otro (especifique),Aprendí que el trabajo en equipo es muy bueno para nuestra enseñanza. ,Tus emociones o sentimientos,Hacen que te intereses por nuevas maneras de aprender.,Me encantan,Más o menos,Más o menos,Educación y aprendizaje,,Innovación y creatividad.,100,Más juegos,
12888329414,404495119,2021-08-12 18:03:00,2021-08-12 18:58:50,190.251.241.1,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,"Un día que estaba en una clase virtual me sucedió algo que no tenía idea de de una actividad que nos mandó la profesora de español que era inventar un cuento me puse a pensar como lo voy hacer, hasta que me puse a imaginar y lo escribi hasta que lo leí realicé no lo podía creer que yo hice un cuento ese día estuve muy orgullosa de mi ",Orgullo/Satisfacción,Experiencia personal,Hace seis meses,Casi nunca,Nadie,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tus emociones o sentimientos,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Mucho,Relación con los compañeros,,Trabajo colaborativo.,1,Más lecturas.,
12888247258,404495119,2021-08-12 18:18:13,2021-08-12 18:21:56,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,Un dia me cai en el colegio y todos me vieron y fue desagradable,Impotencia,Experiencia personal,Hace un año,Frecuentemente,Todo el mundo,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tus emociones o sentimientos,Hacen que quieras entrar a ellos.,Son buenas,Mucho,Mucho,Educación y aprendizaje,,Buena comunicación.,39,Más trabajos en grupo,
12888193704,404495119,2021-08-12 17:52:02,2021-08-12 17:59:59,201.233.71.186,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,fue algo desagradable porque yo tengo un problema en los ojos y me estaba enfermando ademas lostiempos eran super cortos para hacer las actividades,Tristeza,Experiencia personal,Hace un año,Casi nunca,Los profesores y las directivas,Profesores,,Aprendí a valorar a mis profesores como personas que se interesan por mi mas allá de lo académico,,Tu relación con el colegio y la educación.,Hacen que quieras entrar a ellos.,No me gustan,Más o menos,Mucho,Valores,,Innovación y creatividad.,65,Más trabajos en grupo,
12888174521,404495119,2021-08-12 17:40:49,2021-08-12 17:52:05,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,Una vez me quedé sin internet y me tocó irme a las casa vecinas haber quien me regala conección jajaja  fue muy chistoso y asta penoso para mí pero una motivación para seguir estudiando ,Impotencia,Experiencia personal,Hace un año,Frecuentemente,Padres/familia,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu relación con el colegio y la educación.,Hacen que no quieras entrar a ellos.,Me encantan,Mucho,Más o menos,Riegos cibernéticos,,Buena comunicación.,10,Más casos y ejemplos de la vida real.,
12888136002,404495119,2021-08-12 17:00:11,2021-08-12 17:36:01,201.233.80.232,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,"Un día cuando llegue a el colegio Ramón Munera Lopera a otros compañeros y me hice amiga de liani, unos niños siempre me molestaban, cuando llego la pandemia tuvimos que estudiar virtual pero no nos dejamos de hablar y hablamos por el celular y nos visitamos aveces pero no nos separamos.",Alegría,Experiencia personal,Hace un año,Frecuentemente,Los profesores y las directivas,Amigos,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Ninguna de las anteriores,Hacen que desees volver al salón de clase.,Son buenas,Más o menos,Mucho,Educación y aprendizaje,,Trabajo colaborativo.,73,Más actividades fuera del aula.,
12888085573,404495119,2021-08-12 16:59:24,2021-08-12 17:19:01,45.175.20.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,A una prima la violaron ,Tristeza,Experiencia que alguien te compartió,Hace un año,Casi nunca,Nadie,Familia,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Ninguna de las anteriores,Hacen que te intereses por nuevas maneras de aprender.,Me encantan,Mucho,Mucho,Educación y aprendizaje,,Trabajo colaborativo.,12,Más trabajos en grupo,
12888093599,404495119,2021-08-12 17:03:34,2021-08-12 17:16:42,190.251.248.204,,,,,No,SUCRE,IE. Ramón Múnera Lopera,Mujer,Lo que me me paso en virtual es que era muy importante asistir hacer las tareas y cumplir y es un agradecimiento para mi porque aunque era difícil era enseñanza para mi ,Tranquilidad,Una opinión,Hace seis meses,Siempre,Todo el mundo,Profesores,,"Aprendí un nuevo manejo del tiempo en casa, lo divido de manera correcta entre la escuela, el ocio, la familia y el descanso.",,Tu familia,Hacen que te intereses por nuevas maneras de aprender.,Me encantan,Mucho,Más o menos,Innovación y creatividad,,Buena comunicación.,100,Más actividades fuera del aula.,
12888078190,404495119,2021-08-12 17:02:31,2021-08-12 17:13:44,45.175.20.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Hombre,No me la pase bien en la virtualidad por que cuando no entendia la prpfesora no me explicaba solo me regañaba así que no me gusto la virtuslidad,Impotencia,Experiencia personal,Hace un año,Casi nunca,Padres/familia,Profesores,,Aprendí a valorar a mis profesores como personas que se interesan por mi mas allá de lo académico,,Ninguna de las anteriores,Son aburridos y no te gustan.,Son buenas,Mucho,Mucho,Valores,,Trabajo colaborativo.,12,Más juegos,
