respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Queremos saber cuánto te gusta ir al colegio, estudiar y aprender. Piensa en algo que te haya sucedido el año pasado en tu colegio, que te produjo una de estas trescosas. Escoge una:","De acuerdo con la situación que escogiste en la pregunta anterior ¿Cuál experiencia compartirías? Describe la experiencia, y lo que pasó",Sugiere un #hashtag o un título para tu respuesta anterior:,En la experiencia que escribí… (historia),Mi historia está relacionada con…,Esa situación me ayudó a…,Esta situación me va a ayudar a…,Esto me ayudó a entender…,En mi escuela mis profesores se dedican a…,Pensando en la situación/ejemplo que compartí... Esto me animó a aprender…,Lo que aprendí fue…,Lo que aprendí tiene importancia para…,Las decisiones fueron influenciadas por…,Esta situación me generó una sensación de… ,Esta situación sucede…,Esta historia se relaciona con…,Grado...,Edad... ,El nivel de educación de mis padres o acudientes es…,Género
12596656264,402496032,2021-04-22 09:00:00,2021-04-22 09:08:10,181.128.85.90,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Que en otros colegios no tenía la suficiente antencion,#,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Entendernos y darnos soporte emocional,93,23,100,6,Tristeza,Rara vez,El trabajo en equipo,4,8 a 10 años,Bachiller,Hombre
12594362981,402496032,2021-04-21 14:10:31,2021-04-21 14:22:06,45.175.20.34,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Aprendi Que Apesar De Lo Que Esta Pasando  En El Mundo No Hay Que Rendir nos  Hay que Ser Fuerte Y Aprender O experimentar  Cosas Nuevas,El esfuerzo  Del Mundo,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,0,100,100,100,Esperanza,Una vez,El trabajo en equipo,4,8 a 10 años,Bachiller,Mujer
12594354957,402496032,2021-04-21 14:13:23,2021-04-21 14:19:23,45.191.232.179,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Aprendí a escribir mi nombre y también ha saber las letras y números ,Aprendí Mucho,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,0,100,100,Satisfacción/orgullo,Con frecuencia,La forma cómo los profesores enseñan,,8 a 10 años,No se,Hombre
12594350050,402496032,2021-04-21 14:09:54,2021-04-21 14:16:56,181.129.49.212,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,Aprendí a leer y a multiplicar,Mis sumas,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,45,18,13,100,Felicidad,Todo el tiempo,La forma como los profesores me evalúan,,8 a 10 años,Bachiller,Hombre
12594337306,402496032,2021-04-21 14:08:19,2021-04-21 14:12:12,191.95.149.239,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,los lugares de medellin me gustan mucho,lugares turisticos de medellin,Me dio curiosidad por saber más,Quienes me rodean,Entender a lo que pasa a mi alrededor,Hacer cosas,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,100,33,100,68,Satisfacción/orgullo,Con frecuencia,Lo que hago en mi tiempo libre,4,8 a 10 años,Universitario,Hombre
12589864403,402496032,2021-04-20 07:48:41,2021-04-20 07:54:31,45.175.20.130,,,,,No,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,pues me enseno a dibujar y matematicas,#dubujomatemeticas,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,99,18,99,40,Felicidad,Rara vez,La forma cómo los profesores enseñan,6,11 a 13 años,No se,Mujer
12588264324,402496032,2021-04-19 17:02:36,2021-04-19 17:19:29,179.12.111.186,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,que prefiero verle  la cara  alos profes por que hay beses que se cae el interned  ,se cae el wifin,Me sentí confundido/no entendí nada,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Entendernos y darnos soporte emocional,50,50,100,50,Felicidad,Con frecuencia,Ninguna de las anteriores,6,11 a 13 años,No se,Hombre
12588171942,402496032,2021-04-19 13:58:28,2021-04-19 16:35:38,191.95.146.49,,,,,Sí,ANTIOQUIA,IE. La sierra,te dio curiosidad por aprender más,No aprendí casi nada,#hashtag clases presenciales ,Me sentí confundido/no entendí nada,Conmigo mismo,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,42,100,68,68,Angustia/Miedo,Con frecuencia,Cómo resolver conflictos,11,14 a 16 años,Bachiller,Hombre
12587520696,402496032,2021-04-19 12:29:29,2021-04-19 12:34:27,186.97.156.131,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Lo virtual,#virtual,Me dio curiosidad por saber más,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,15,100,50,Esperanza,No se,El trabajo en equipo,11,14 a 16 años,Bachiller,Hombre
12587486485,402496032,2021-04-19 12:17:47,2021-04-19 12:24:26,186.97.156.131,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Pues la paso muy bien con mis compañeros  y me parece que es mejor ir al colegio que tener clases virtuales ,#clases-presenciales,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,58,16,89,51,Satisfacción/orgullo,No se,,11,14 a 16 años,Bachiller,Mujer
12587463871,402496032,2021-04-19 12:08:34,2021-04-19 12:16:31,181.142.44.231,,,,,Sí,ANTIOQUIA,IE. La sierra,te confundió,Me confundí porfa no aprendimos nada porque virtual uno no aprende uno a prende presencial,No,Me sentí confundido/no entendí nada,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,18,50,14,19,no está seguro,No se,Cómo resolver conflictos,11,14 a 16 años,No se,Hombre
12587458683,402496032,2021-04-19 12:01:17,2021-04-19 12:15:08,190.7.153.27,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Que hay que respetar el orden  ,el respeto ,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,96,92,99,93,Felicidad,Con frecuencia,El trabajo en equipo,11,17 a 19 años,Bachiller,Hombre
12587455907,402496032,2021-04-19 12:08:55,2021-04-19 12:12:26,191.95.154.104,,,,,No,ANTIOQUIA,IE. La sierra,te confundió,Me confundi en muchas cosas y más cuando no entendía mucho estres también ,#Siestasconfundidoqueesloqueaprendes,Me sentí confundido/no entendí nada,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,68,55,70,67,no está seguro,Con frecuencia,Mi aporte a la humanidad/al mundo/a los demás,11,14 a 16 años,Bachiller,Mujer
12587442178,402496032,2021-04-19 12:01:47,2021-04-19 12:08:18,186.97.156.131,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Aprendi muchas cosas que uno debe de valorar ,Aprendiendo cosas nuevas,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,92,38,100,96,Esperanza,Rara vez,Lo que hago en mi tiempo libre,11,17 a 19 años,No se,Hombre
12587441495,402496032,2021-04-19 12:01:16,2021-04-19 12:09:04,191.95.158.108,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,que uno comparte mas con los compañeros ,no tengo  titulo,Me dio curiosidad por saber más,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,96,42,50,98,Tristeza,Una vez,Liderazgo,11,17 a 19 años,No se,Hombre
12587430549,402496032,2021-04-19 11:59:15,2021-04-19 12:04:20,179.13.159.124,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Aprendí a respetar a los demas,El respeto ,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,80,9,16,87,Felicidad,Una vez,El trabajo en equipo,11,14 a 16 años,Bachiller,Hombre
12587430314,402496032,2021-04-19 11:59:16,2021-04-19 12:04:23,186.97.156.131,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,,,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,45,50,51,49,Felicidad,Con frecuencia,Relación con la familia,11,14 a 16 años,Bachiller,Mujer
12587419163,402496032,2021-04-19 11:55:48,2021-04-19 12:00:48,191.95.146.16,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Aprender a como estudiar también en nuestro hogares es una experiencia única ,#estudiandoencasasinterrupcion ,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Hacer cosas,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,41,100,33,Esperanza,Todo el tiempo,La forma cómo los profesores enseñan,11,14 a 16 años,Bachiller,Mujer
12587406863,402496032,2021-04-19 11:51:27,2021-04-19 11:56:28,186.97.156.131,,,,,No,ANTIOQUIA,IE. La sierra,te dio curiosidad por aprender más,Con la profe de artística me dio curiosidad las sombras y el color que una persona le puede dar a un dibujo con un solo tono de color ,#conunsolocolorpuedohacer,Me dio curiosidad por saber más,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,50,0,100,100,Satisfacción/orgullo,Con frecuencia,Innovación / creatividad,11,14 a 16 años,No se,Hombre
12587405194,402496032,2021-04-19 11:52:43,2021-04-19 11:55:54,191.95.149.10,,,,,Sí,ANTIOQUIA,IE. La sierra,te dio curiosidad por aprender más,Quiero aprender más ,#iralcolegio,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,80,60,80,70,Felicidad,Rara vez,Cómo resolver conflictos,11,17 a 19 años,Bachiller,Hombre
12587405183,402496032,2021-04-19 11:52:35,2021-04-19 11:55:44,191.95.149.10,,,,,Sí,ANTIOQUIA,IE. La sierra,te dio curiosidad por aprender más,Pues lo de la media técnica me dió ganas de aprender más en precensial,#volverprecensial,Me dio curiosidad por saber más,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,30,0,0,54,Tristeza,No se,Lo que hago en las horas de clase,11,14 a 16 años,Bachiller,Hombre
12587394998,402496032,2021-04-19 11:46:50,2021-04-19 11:52:45,191.95.44.40,,,,,Sí,ANTIOQUIA,IE. La sierra,te confundió,Antes Estoy Es Confundido Este Año Por Tantos Talleres Que Ponen Para Mi Es Mejor Como El Año Pasado Que Era Los Talleres Por Grupos ,Normal ,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Hacer cosas,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,52,73,94,78,no está seguro,Con frecuencia,La forma cómo los profesores enseñan,11,17 a 19 años,Bachiller,Hombre
12587386124,402496032,2021-04-19 11:42:32,2021-04-19 11:49:36,186.81.102.47,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Seguir luchando sin importar los obstáculos,Luchar por los sueños,Aprendí algo nuevo,Mi país/el mundo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,0,100,100,Felicidad,Una vez,El trabajo en equipo,11,14 a 16 años,Bachiller,Hombre
12586808638,402496032,2021-04-19 08:45:02,2021-04-19 08:51:57,45.175.20.108,,,,,No,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Me  dijo la profesora de 4grado que le hiciera el Dictado a mis compañeros que ella iba a ir a hablar con las otras profesoras ,#soy inteligente,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,100,55,58,100,Felicidad,Una vez,Liderazgo,7,11 a 13 años,No se,Mujer
12586447440,402496032,2021-04-19 06:18:58,2021-04-19 06:50:40,45.175.20.108,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te confundió,Confundido por qué cambio de amigos y para compartir tengo muchas cosas ,El confundido,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,95,12,19,96,Felicidad,Todo el tiempo,El trabajo en equipo,7,11 a 13 años,Bachiller,Hombre
12586427495,402496032,2021-04-19 06:23:05,2021-04-19 06:40:30,45.175.20.108,,,,,No,CESAR,Escuela Normal Superior de Antioquia,te enseñó algo nuevo,Que megustaria aprender ,Que megustaria ,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,71,72,35,39,Esperanza,No se,El trabajo en equipo,7,11 a 13 años,Universitario,Mujer
12586409936,402496032,2021-04-19 06:10:59,2021-04-19 06:31:17,191.95.154.169,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,Apunto de estar en cuarenta el profe Andrés nos iba a enseñar a hacer libias derechas a mano eso me dió curiosidad porque es increíble ,Líneas derechas a mano,Me dio curiosidad por saber más,Mi país/el mundo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,0,69,50,40,no está seguro,No se,La forma cómo los profesores enseñan,7,14 a 16 años,No se,Hombre
12586401390,402496032,2021-04-19 06:11:53,2021-04-19 06:28:47,200.122.210.178,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Que le hice algo a una compañera y aprendí que eso no se debe hacer,Respetar a los demas,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasaba antes,Entendernos y darnos soporte emocional,100,100,100,100,Rabia,,Cómo resolver conflictos,7,11 a 13 años,Bachiller,Hombre
12586398515,402496032,2021-04-19 06:12:46,2021-04-19 06:25:51,191.95.150.46,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,"Conoci nuevos profesores ,nuevos compañeros y hacer nuevas actividades participar en clase no corria en el descanso presentaba mis tareas bien organidas y bien hechas ",#todo correcto,Me dio curiosidad por saber más,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,100,50,50,100,Satisfacción/orgullo,Rara vez,La forma cómo los profesores enseñan,7,11 a 13 años,Bachiller,Mujer
12586391935,402496032,2021-04-19 06:10:29,2021-04-19 06:23:00,200.122.211.251,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,Me enseñó muchas cosas de la historia ,#aprenderhacedespejarlamente,Me dio curiosidad por saber más,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que podría pasar en el futuro,Entendernos y darnos soporte emocional,98,100,100,100,no está seguro,Con frecuencia,La forma como los profesores me evalúan,7,14 a 16 años,Bachiller,Mujer
12586390950,402496032,2021-04-19 06:11:02,2021-04-19 06:22:28,181.128.30.233,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,Un nuevo tema que me dio curiosidad por aprender mas ,#aprender mas ,Me dio curiosidad por saber más,Mi país/el mundo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,77,46,50,100,Tristeza,Con frecuencia,El cuidado del medio ambiente,7,11 a 13 años,No se,Mujer
12586384595,402496032,2021-04-19 06:11:08,2021-04-19 06:19:12,191.95.148.54,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Aprendí más cosas en el año pasado y tener más curiosidad,Aprender mas,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,51,24,50,53,Felicidad,No se,Lo que hago en las horas de clase,7,11 a 13 años,Técnico,Mujer
12584384346,402496032,2021-04-18 00:44:31,2021-04-18 00:51:24,190.248.161.81,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te confundió,Pues fue muy confuso y complicado por que virtual es más difícil tu no entiendes todos hay muchos errores en los links todo se complica más y no entendía mucho ,#nomasclasesvirtuales,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,65,0,100,0,Angustia/Miedo,Rara vez,La forma cómo los profesores enseñan,7,14 a 16 años,Bachiller,Hombre
12582374970,402496032,2021-04-16 16:14:46,2021-04-16 16:27:28,190.130.72.182,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Aprendi a dividir por barias sifras,No,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,11,100,6,no está seguro,No se,Ninguna de las anteriores,6,11 a 13 años,No se,Hombre
12581824261,402496032,2021-04-16 12:36:00,2021-04-16 12:43:09,190.7.153.27,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Siento que es más educativo,#educativa,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,54,50,29,100,Felicidad,Con frecuencia,El trabajo en equipo,6,11 a 13 años,Bachiller,Hombre
12581814934,402496032,2021-04-16 12:27:03,2021-04-16 12:40:58,191.95.159.234,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,En la clase de inglés porque a prendí a  los saludos,Ingles,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,30,100,100,Satisfacción/orgullo,Una vez,,6,11 a 13 años,Bachiller,Mujer
12581801338,402496032,2021-04-16 12:24:18,2021-04-16 12:40:01,190.7.153.27,,,,,Sí,AMAZONAS,IE. Guadalupe,te enseñó algo nuevo,Lo que paso esque  mediberti mocho y apredi a multiplicar,Me paresi o sorpredente,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,100,100,100,100,Tristeza,Una vez,La forma como los profesores me evalúan,6,11 a 13 años,Técnico,Hombre
12581801191,402496032,2021-04-16 12:28:46,2021-04-16 12:34:30,186.97.156.131,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,me enseño que no hay que juzgar a nadie por lo que s,no hay que juzgar,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,36,100,100,100,Felicidad,Rara vez,Relación con los compañeros,6,11 a 13 años,No se,Hombre
12581775402,402496032,2021-04-16 12:14:01,2021-04-16 12:26:02,191.106.149.54,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,A raíz de la pandemia aprendí a estudiar de manera virtual ,#clases virtuales,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,90,21,100,16,no está seguro,Una vez,Mi aporte a la humanidad/al mundo/a los demás,6,11 a 13 años,Bachiller,Hombre
12581773611,402496032,2021-04-16 12:11:45,2021-04-16 12:24:32,191.91.240.104,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Conocer amigos y el colegio ,Amigos nuevos ,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,5,5,54,67,Felicidad,Una vez,Lo que hago en mi tiempo libre,6,11 a 13 años,Bachiller,Hombre
